year,state_abbr,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,total crime,overall crime rate
2019,NC,North Carolina,10501384,39773,653,7700,28056,251135,54033,178332,18770,578452,0.05508340615
2020,NC,North Carolina,10600823,44451,852,7340,33337,236026,49952,165554,20520,558032,0.05264044122
2010,ND,North Dakota,674629,1548,10,90,1203,12010,2000,9137,873,26871,0.03983078107
2011,ND,North Dakota,684740,1699,24,91,1318,13334,2458,9891,985,29800,0.04352016824
2012,ND,North Dakota,701345,1723,25,127,1292,14297,2429,10687,1181,31761,0.04528584363
2013,ND,North Dakota,723857,1979,16,161,1447,15356,2979,10942,1435,34315,0.04740577213
2014,ND,North Dakota,740040,2001,23,175,1421,15857,2751,11559,1547,35334,0.04774606778
2015,ND,North Dakota,756835,1949,21,159,1378,17716,3296,12686,1734,38939,0.0514497876
2016,ND,North Dakota,755548,1905,16,181,1352,17451,3248,12249,1954,38356,0.05076580178
2017,ND,North Dakota,755176,2133,10,183,1534,16653,2947,11944,1762,37166,0.04921501743
2018,ND,North Dakota,758080,2154,18,158,1569,15621,2742,11088,1791,35141,0.04635526593
2019,ND,North Dakota,763724,2302,25,184,1629,15270,2646,10785,1839,34680,0.04540907448
2020,ND,North Dakota,765309,2518,32,151,1939,16256,3196,10986,2074,37152,0.04854509747
2010,OH,Ohio,11537968,36306,479,16486,15611,376836,107125,248581,21130,822554,0.07129106269
2011,OH,Ohio,11541007,35218,500,15991,15048,380572,112901,246744,20927,827901,0.07173559465
2012,OH,Ohio,11553031,34827,478,15396,15140,370435,105312,245372,19751,806711,0.06982678398
2013,OH,Ohio,11572005,33722,478,14483,14370,338414,91090,227799,19525,739881,0.06393714832
2014,OH,Ohio,11596998,33130,464,12780,14658,322517,79466,224942,18109,706066,0.06088351485
2015,OH,Ohio,11605090,34373,522,12617,15793,303743,69994,216354,17395,670791,0.05780144747
2016,OH,Ohio,11622554,35759,683,12574,16748,300945,67081,214102,19762,667654,0.05744468901
2017,OH,Ohio,11664129,34621,741,11224,16823,280557,57521,202320,20716,624523,0.05354218905
2018,OH,Ohio,11676341,34426,596,9608,18370,257848,49456,188433,19959,578696,0.04956141654
2019,OH,Ohio,11696507,34618,584,8861,19323,240540,44232,177610,18698,544466,0.04654945276
2020,OH,Ohio,11693217,36104,820,7826,22406,216363,37279,159007,20077,499882,0.04274974115
2010,OK,Oklahoma,3760184,18100,195,3345,13091,129464,37848,81303,10313,293659,0.07809697611
2011,OK,Oklahoma,3784163,17311,212,3288,12401,127618,36462,80064,11092,288448,0.07622504633
2012,OK,Oklahoma,3815780,18102,220,3248,13012,130969,36094,83131,11744,296520,0.07770888259
2013,OK,Oklahoma,3853118,17187,198,3023,11652,126418,33512,81624,11282,284896,0.07393907999
2014,OK,Oklahoma,3879610,16052,180,3073,10937,117445,29963,76719,10763,265132,0.0683398589
2015,OK,Oklahoma,3907414,16746,240,3018,11535,114055,28783,74678,10594,259649,0.06645034286
2016,OK,Oklahoma,3921207,17855,247,3174,12334,118010,29376,76358,12276,269630,0.06876199089
2017,OK,Oklahoma,3932640,17989,243,3007,12519,113611,28749,72546,12316,260980,0.06636254526
2018,OK,Oklahoma,3940235,18701,215,2805,13250,114395,27178,73799,13418,263761,0.0669404236
2019,OK,Oklahoma,3960676,17279,275,2383,12258,113504,26820,73199,13485,259203,0.06544413125
2020,OK,Oklahoma,3980783,18255,296,2351,13506,107705,24415,68243,15047,249818,0.06275599549
2010,OR,Oregon,3838332,9648,96,2421,5892,116657,20035,87494,9128,251371,0.06548964498
2011,OR,Oregon,3868229,9643,84,2237,6083,121869,20704,92059,9106,261785,0.06767567277
2012,OR,Oregon,3899801,9638,91,2419,5969,126417,22051,94114,10252,270951,0.06947816055
2013,OR,Oregon,3928068,9536,82,2394,5596,125083,20808,94363,9912,267774,0.06816939014
2014,OR,Oregon,3971202,10294,84,2270,6320,123142,18690,94177,10275,265252,0.06679388256
2015,OR,Oregon,4024634,10680,110,2163,6757,119752,18541,90514,10697,259214,0.06440685041
2016,OR,Oregon,4085989,10983,116,2307,6776,121716,16919,91507,13290,263614,0.06451657114
2017,OR,Oregon,4146592,11629,105,2474,7058,122524,17415,88091,17018,266314,0.0642247899
2018,OR,Oregon,4181886,12146,86,2515,7431,122401,16515,89191,16695,266980,0.06384200813
2019,OR,Oregon,4216116,12382,117,2329,8050,117567,15127,86922,15518,258012,0.06119660844
2020,OR,Oregon,4241507,12380,125,2180,8510,112782,14386,81811,16585,248759,0.05864873027
2010,PA,Pennsylvania,12717722,46612,653,16375,26112,276366,55206,204440,16720,642484,0.05051879574
2011,PA,Pennsylvania,12743948,46189,639,16165,26046,283442,57966,208604,16872,655923,0.05146937197
2012,PA,Pennsylvania,12764475,45384,707,15735,25571,276562,57040,204409,15113,640521,0.05017997215
2013,PA,Pennsylvania,12781296,42825,611,14739,23680,263176,52000,197410,13766,608207,0.04758570649
2014,PA,Pennsylvania,12793767,40298,610,13545,22304,246982,45718,188211,13053,570721,0.04460930076
2015,PA,Pennsylvania,12791904,40348,665,12965,22419,231941,39573,180236,12132,540279,0.04223601115
2016,PA,Pennsylvania,12787085,40389,674,12314,22942,222394,35178,174147,13069,521107,0.04075260311
2017,PA,Pennsylvania,12790447,40030,742,11777,23295,210316,31925,165434,12957,496476,0.03881615709
2018,PA,Pennsylvania,12800922,39099,784,9854,23971,190633,27054,150441,13138,454974,0.03554228359
2019,PA,Pennsylvania,12798883,39160,676,9749,24390,179670,23324,143937,12409,433315,0.03385568881
2020,PA,Pennsylvania,12783254,49793,1009,10728,33828,210167,31774,162919,15474,515692,0.04034121516
2010,RI,Rhode Island,1052528,2709,29,782,1600,26959,6124,18432,2403,59038,0.05609161942
2011,RI,Rhode Island,1050646,2586,20,744,1503,27976,6836,18765,2375,60805,0.05787391757
2012,RI,Rhode Island,1050304,2657,26,715,1614,27039,5929,18478,2632,59090,0.0562599019
2013,RI,Rhode Island,1053354,2710,31,683,1547,25741,5621,17881,2239,56453,0.05359356873
2014,RI,Rhode Island,1054907,2320,26,530,1398,22982,4830,16317,1835,50238,0.04762315541
2015,RI,Rhode Island,1055607,2565,31,547,1520,20038,3938,14714,1386,44739,0.04238225021
2016,RI,Rhode Island,1057566,2529,29,541,1514,18910,3650,14157,1103,42433,0.04012326417
2017,RI,Rhode Island,1056486,2474,21,474,1525,18585,3219,13882,1484,41664,0.03943639575
2018,RI,Rhode Island,1058287,2326,16,453,1363,17625,2817,13270,1538,39408,0.03723753575
2019,RI,Rhode Island,1058158,2357,26,421,1412,16312,2321,12628,1363,36840,0.03481521663
2020,RI,Rhode Island,1057125,2440,32,336,1665,13166,1763,9894,1509,30805,0.0291403571
2010,SC,South Carolina,4637106,27923,265,5017,21090,181098,46261,121544,13293,416491,0.08981701087
2011,SC,South Carolina,4673348,27894,320,4631,21265,183243,47351,122255,13637,420596,0.08999886163
2012,SC,South Carolina,4723417,26474,332,4511,19919,181049,45222,122340,13487,413334,0.08750741254
2013,SC,South Carolina,4771929,24263,305,3965,17760,173261,40930,119730,12601,392815,0.08231786349
2014,SC,South Carolina,4829160,24038,322,4018,17513,168281,37163,118173,12945,382453,0.07919658905
2015,SC,South Carolina,4894834,24448,407,3950,17652,162830,34942,114778,13110,372117,0.07602239422
2016,SC,South Carolina,4959822,25137,358,4071,18217,161534,33149,114455,13930,370851,0.07477103009
2017,SC,South Carolina,5021219,25412,380,3884,18572,160368,31165,114931,14272,368984,0.07348494459
2018,SC,South Carolina,5084156,25463,411,3592,18810,156330,29957,111427,14946,360936,0.07099231416
2019,SC,South Carolina,5157702,26307,455,3325,19999,151970,27439,109366,15165,354026,0.06864025878
2020,SC,South Carolina,5218040,27691,549,3122,21934,141987,23377,103892,14718,337270,0.06463538033
2010,SD,South Dakota,816598,2196,23,154,1634,15188,3192,11196,800,34383,0.04210517292
2011,SD,South Dakota,823593,2105,20,167,1415,15299,2927,11423,949,34305,0.04165285523
2012,SD,South Dakota,834047,2701,23,157,1921,17326,3280,12973,1073,39454,0.04730428861
2013,SD,South Dakota,845510,2733,18,156,2052,16274,3383,11955,936,37507,0.04436020863
2014,SD,South Dakota,853304,2801,23,199,2101,16036,2817,12209,1010,37196,0.04359056093
2015,SD,South Dakota,857919,3302,33,215,2554,16739,2969,12576,1194,39582,0.04613722274
2016,SD,South Dakota,861542,3636,28,274,2808,17207,3002,12705,1500,41160,0.04777480378
2017,SD,South Dakota,873286,3753,27,264,2887,16588,2835,12285,1468,40107,0.04592653495
2018,SD,South Dakota,878698,3483,12,222,2632,15191,2502,11237,1452,36731,0.04180162012
2019,SD,South Dakota,887127,3523,16,190,2670,15686,2662,11265,1759,37771,0.04257676748
2020,SD,South Dakota,892717,4476,40,274,3563,17468,3036,12117,2315,43289,0.04849129119
2010,TN,Tennessee,6357436,38909,359,8361,28016,232855,64293,153729,14833,541355,0.08515303968
2011,TN,Tennessee,6399787,38895,380,8082,28338,230900,62830,153928,14142,537495,0.08398638892
2012,TN,Tennessee,6454914,41213,400,8151,30615,217925,56231,148731,12963,516229,0.07997457441
2013,TN,Tennessee,6497269,38063,335,7333,27895,207683,51334,144443,11906,488992,0.07526115973
2014,TN,Tennessee,6547779,39989,369,7268,29757,200911,46798,141464,12649,479205,0.07318588486
2015,TN,Tennessee,6595056,40816,418,7499,30098,196047,43753,139259,13035,470925,0.07140576213
2016,TN,Tennessee,6649404,42459,495,7829,31332,191199,40607,135353,15239,464513,0.06985783989
2017,TN,Tennessee,6708794,43940,538,7867,32507,198028,38819,140636,18573,480908,0.07168322652
2018,TN,Tennessee,6771631,42687,508,7222,31946,192897,33538,138710,20649,468157,0.06913504295
2019,TN,Tennessee,6830325,40908,515,6164,31286,181801,29969,132540,19292,442475,0.06478095845
2020,TN,Tennessee,6886834,46328,663,5575,37412,171675,26479,124098,21098,433328,0.0629212204
2010,TX,Texas,25253466,113231,1249,32843,71517,951246,228597,654626,68023,2121332,0.08400161784
2011,TX,Texas,25631778,104734,1130,28620,67498,892810,215755,613131,63924,1987602,0.07754444502
2012,TX,Texas,26060796,106475,1148,30385,67227,876459,205002,606425,65032,1958153,0.07513788144
2013,TX,Texas,26505637,108757,1140,31810,65351,862289,191062,605440,65787,1931636,0.07287642248
2014,TX,Texas,26979078,109711,1192,31021,65862,813515,168085,577018,68412,1834816,0.06800884745
2015,TX,Texas,27429639,113193,1317,31924,67629,779234,153067,558653,67514,1772531,0.06462101087
2016,TX,Texas,27904862,121064,1478,33298,72842,769892,148796,552106,68990,1768466,0.06337483411
2017,TX,Texas,28322717,123984,1405,32120,75923,723143,133458,521767,67918,1679718,0.05930638646
2018,TX,Texas,28628666,118197,1327,28339,73433,681143,117897,493238,70008,1583582,0.05531455779
2019,TX,Texas,28986794,122263,1432,29126,76402,697305,114494,504461,78350,1623833,0.05601975162
2020,TX,Texas,29360759,131084,1931,26834,88810,659160,108851,466033,84276,1566979,0.05336983966
2010,UT,Utah,2775479,5925,53,1269,3620,88316,15095,67242,5979,187499,0.06755554627
2011,UT,Utah,2814347,5547,50,1079,3517,84084,13170,64727,6187,178361,0.06337562497
2012,UT,Utah,2854871,5939,52,1105,3807,86284,13095,67157,6032,183471,0.06426595107
2013,UT,Utah,2902787,6644,51,1247,3824,88334,13727,67115,7492,188434,0.06491485596
2014,UT,Utah,2944498,6464,66,1313,3538,85473,11656,66487,7330,182327,0.06192125109
2015,UT,Utah,2990632,7138,57,1329,4048,89797,12606,68464,8727,192166,0.06425598335
2016,UT,Utah,3044321,7406,74,1528,4244,90561,12938,68261,9362,194374,0.06384806333
2017,UT,Utah,3103118,7515,74,1498,4185,86201,11780,64955,9466,185674,0.05983465663
2018,UT,Utah,3153550,7551,63,1237,4397,76294,10079,58406,7809,165836,0.0525870844
2019,UT,Utah,3203383,7588,77,1130,4516,69469,8658,54078,6733,152249,0.04752756695
2020,UT,Utah,3249879,8471,102,1362,5198,80091,9444,60359,10288,175315,0.05394508534
2010,VT,Vermont,625909,820,7,76,596,14160,3348,10373,439,29819,0.04764111077
2011,VT,Vermont,626592,925,11,99,669,15086,3838,10720,528,31876,0.05087201879
2012,VT,Vermont,625953,891,8,114,638,15653,4179,11014,460,32957,0.05265091788
2013,VT,Vermont,626855,775,10,75,554,13882,3352,10193,337,29178,0.04654664954
2014,VT,Vermont,626767,643,10,72,444,9721,2092,7375,254,20611,0.03288462858
2015,VT,Vermont,626088,747,10,105,482,9064,2034,6834,196,19472,0.03110105928
2016,VT,Vermont,623354,851,14,78,589,9705,1884,7637,184,20942,0.03359567758
2017,VT,Vermont,624525,1082,17,100,711,9339,1945,7169,225,20588,0.03296585405
2018,VT,Vermont,624358,1155,11,73,745,8211,1496,6451,264,18406,0.02947988173
2019,VT,Vermont,624046,1293,11,71,913,8968,1286,7378,304,20224,0.03240786737
2020,VT,Vermont,623347,1081,14,64,790,7586,961,6361,264,17121,0.02746624272
2010,VA,Virginia,8023953,17184,376,5678,9550,187403,30804,145990,10609,407594,0.05079715696
2011,VA,Virginia,8104384,16014,304,5425,8694,182902,30656,142476,9770,396241,0.04889217984
2012,VA,Virginia,8186628,15676,322,4718,9131,178434,29651,139654,9129,386715,0.04723739738
2013,VA,Virginia,8270345,16355,320,4574,9111,171558,26717,136215,8626,373476,0.0451584547
2014,VA,Virginia,8328098,16522,350,4294,9462,161934,23210,131001,7723,354496,0.04256626183
2015,VA,Virginia,8367587,16705,390,4459,9357,157803,21542,128064,8197,346517,0.0414118192
2016,VA,Virginia,8414380,18495,482,4826,10357,157292,20159,127285,9848,348744,0.04144619093
2017,VA,Virginia,8465207,17811,470,4331,9984,152515,18524,123812,10179,337626,0.03988396267
2018,VA,Virginia,8501286,17357,417,3610,10258,142931,15659,116496,10776,317504,0.03734776127
2019,VA,Virginia,8556642,17916,447,3520,11034,140944,13972,116656,10316,314805,0.03679071767
2020,VA,Virginia,8590563,17925,524,2947,12175,125114,11465,102796,10853,283799,0.03303613512
2010,WA,Washington,6742950,21138,154,5929,12476,249426,55192,168490,25744,538549,0.0798684552
2011,WA,Washington,6823267,20152,163,5627,12042,244209,56561,162828,24820,526402,0.07714808757
2012,WA,Washington,6895318,20553,217,5801,12285,254377,61376,166338,26663,547610,0.07941765702
2013,WA,Washington,6973742,20223,167,5829,11623,259139,58487,172227,28425,556120,0.0797448486
2014,WA,Washington,7063166,20185,178,5641,11586,261257,55381,175317,30559,560104,0.07929928307
2015,WA,Washington,7160290,20505,218,5450,12059,249474,51114,171393,26967,537180,0.07502210106
2016,WA,Washington,7280934,22101,195,5649,13124,254994,49249,173423,32322,551057,0.07568493273
2017,WA,Washington,7425432,22483,226,5386,13571,235206,43687,162154,29365,512078,0.06896272163
2018,WA,Washington,7523869,23719,236,5557,14316,223256,40434,154941,27881,490340,0.06517125697
2019,WA,Washington,7614024,23095,205,5356,14037,207539,34976,147778,24785,457771,0.06012208525
2020,WA,Washington,7693612,22596,301,5183,14435,210223,40167,142657,27399,462961,0.06017472677
2010,WV,West Virginia,1854368,5586,58,776,4390,41301,10778,28104,2419,93412,0.05037403579
2011,WV,West Virginia,1854908,5497,87,802,4236,39009,10245,26656,2108,88640,0.04778673659
2012,WV,West Virginia,1856680,5943,70,835,4623,44500,11466,30800,2234,100471,0.05411325592
2013,WV,West Virginia,1853595,5657,62,653,4242,39929,9908,28055,1966,90472,0.04880893615
2014,WV,West Virginia,1848751,5850,84,655,4517,38282,9368,26954,1960,87670,0.04742120491
2015,WV,West Virginia,1841053,6397,85,783,4819,38694,9467,26984,2243,89472,0.04859827501
2016,WV,West Virginia,1828637,6633,85,720,5144,37282,9127,25657,2498,87146,0.04765625983
2017,WV,West Virginia,1817048,6564,98,673,5000,32560,7557,21917,3086,77455,0.04262683209
2018,WV,West Virginia,1804291,5411,76,333,4286,27888,5916,19783,2189,65882,0.03651406564
2019,WV,West Virginia,1795263,5725,100,347,4460,27327,5282,19825,2220,65286,0.03636570241
2020,WV,West Virginia,1784787,6352,117,369,5034,24976,4877,17828,2271,61824,0.03463942756
2010,WI,Wisconsin,5691659,14167,155,4516,8305,142781,26636,107993,8152,312705,0.0549409232
2011,WI,Wisconsin,5709843,14268,138,4600,8340,139912,27167,104472,8273,307170,0.05379657549
2012,WI,Wisconsin,5724554,16254,169,4692,10165,140780,27931,104619,8230,312840,0.05464879884
2013,WI,Wisconsin,5742953,16118,163,4834,9285,125694,24358,93946,7390,281788,0.04906674319
2014,WI,Wisconsin,5759432,16763,159,5101,9826,120535,21375,89255,9905,272919,0.04738644366
2015,WI,Wisconsin,5767891,17549,240,5234,10270,114171,19602,83572,10997,261635,0.04536060061
2016,WI,Wisconsin,5772917,17716,232,4707,10772,111911,19498,82455,9958,257249,0.04456135434
2017,WI,Wisconsin,5792051,18638,192,4370,11899,104908,17570,77868,9470,244915,0.04228467602
2018,WI,Wisconsin,5807406,17365,175,3493,11364,91238,14180,68380,8678,214873,0.03699982402
2019,WI,Wisconsin,5824581,17305,189,2994,11764,85796,12572,65687,7537,203844,0.03499719551
2020,WI,Wisconsin,5832655,18861,308,3081,13452,86654,12744,64517,9393,209010,0.03583445275
2010,WY,Wyoming,564554,1117,8,77,870,13869,2151,11126,592,29810,0.0528027434
2011,WY,Wyoming,567356,1245,18,71,1010,12878,1864,10493,521,28100,0.04952798596
2012,WY,Wyoming,576626,1161,14,61,932,13222,2125,10513,584,28612,0.04961968416
2013,WY,Wyoming,583223,1212,17,74,917,12809,1956,10275,578,27838,0.04773131375
2014,WY,Wyoming,584304,1142,16,53,899,11477,1689,9185,603,25064,0.04289547907
2015,WY,Wyoming,586555,1300,16,59,1054,11151,1762,8797,592,24731,0.04216313901
2016,WY,Wyoming,584910,1431,20,59,1146,11460,1771,8889,800,25576,0.04372638526
2017,WY,Wyoming,578934,1358,14,98,993,10528,1556,8211,761,23519,0.04062466533
2018,WY,Wyoming,577601,1235,14,75,885,10308,1551,7974,783,22825,0.03951689834
2019,WY,Wyoming,580116,1247,13,67,844,9097,1394,6981,722,20365,0.03510504796
2020,WY,Wyoming,582328,1364,18,66,947,9379,1225,7190,964,21153,0.03632488907